board_state	best_move	score_evaluation	mate_evaluation	candidate_moves
[(7, 7, 1), (6, 7, 2)]	(7, 5)	225.875	None	{'(8, 6)': {'count': 3, 'move': (8, 6), 'evaluations': ['235', '266', '208']}, '(7, 5)': {'count': 5, 'move': (7, 5), 'evaluations': ['202', '224', '221', '226', '225']}}
[(7, 7, 1), (6, 6, 2)]	(5, 8)	235.25	None	{'(5, 8)': {'count': 6, 'move': (5, 8), 'evaluations': ['204', '236', '258', '287', '200', '234']}, '(8, 9)': {'count': 1, 'move': (8, 9), 'evaluations': ['296']}, '(5, 6)': {'count': 1, 'move': (5, 6), 'evaluations': ['167']}}
[(7, 7, 1), (6, 6, 2)]	(7, 8)	212.625	None	{'(7, 8)': {'count': 8, 'move': (7, 8), 'evaluations': ['208', '172', '213', '230', '212', '215', '237', '214']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-120.625	None	{'(6, 9)': {'count': 1, 'move': (6, 9), 'evaluations': ['-88']}, '(7, 6)': {'count': 4, 'move': (7, 6), 'evaluations': ['-105', '-117', '-131', '-119']}, '(5, 7)': {'count': 2, 'move': (5, 7), 'evaluations': ['-130', '-130']}, '(8, 7)': {'count': 1, 'move': (8, 7), 'evaluations': ['-145']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 8)	-110.25	None	{'(8, 6)': {'count': 1, 'move': (8, 6), 'evaluations': ['-101']}, '(7, 8)': {'count': 2, 'move': (7, 8), 'evaluations': ['-106', '-75']}, '(8, 7)': {'count': 2, 'move': (8, 7), 'evaluations': ['-83', '-124']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-126']}, '(4, 6)': {'count': 1, 'move': (4, 6), 'evaluations': ['-87']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-180']}}
[(7, 7, 2), (6, 7, 1), (6, 6, 2)]	(7, 5)	-134.375	None	{'(8, 6)': {'count': 3, 'move': (8, 6), 'evaluations': ['-122', '-114', '-148']}, '(7, 5)': {'count': 4, 'move': (7, 5), 'evaluations': ['-168', '-130', '-109', '-121']}, '(5, 5)': {'count': 1, 'move': (5, 5), 'evaluations': ['-163']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 8)	-101.25	None	{'(7, 8)': {'count': 4, 'move': (7, 8), 'evaluations': ['-89', '-96', '-82', '-103']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-153']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-134']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['-73']}, '(8, 7)': {'count': 1, 'move': (8, 7), 'evaluations': ['-80']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(5, 7)	-93.375	None	{'(5, 7)': {'count': 2, 'move': (5, 7), 'evaluations': ['-82', '-124']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-73']}, '(6, 9)': {'count': 2, 'move': (6, 9), 'evaluations': ['-89', '-113']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-106']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-75']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['-85']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(8, 7)	-102.125	None	{'(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-85', '-97']}, '(8, 7)': {'count': 4, 'move': (8, 7), 'evaluations': ['-57', '-110', '-99', '-115']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-118']}, '(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-136']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2)]	(6, 6)	-88.0	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-68', '-90']}, '(7, 5)': {'count': 2, 'move': (7, 5), 'evaluations': ['-93', '-80']}, '(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-94']}, '(8, 6)': {'count': 1, 'move': (8, 6), 'evaluations': ['-98']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['-87']}, '(4, 8)': {'count': 1, 'move': (4, 8), 'evaluations': ['-94']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-122.5	None	{'(7, 6)': {'count': 3, 'move': (7, 6), 'evaluations': ['-91', '-129', '-122']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-109']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-156']}, '(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-141']}, '(8, 7)': {'count': 2, 'move': (8, 7), 'evaluations': ['-131', '-101']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-108.875	None	{'(8, 7)': {'count': 2, 'move': (8, 7), 'evaluations': ['-122', '-127']}, '(7, 6)': {'count': 3, 'move': (7, 6), 'evaluations': ['-92', '-108', '-119']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-111']}, '(6, 7)': {'count': 1, 'move': (6, 7), 'evaluations': ['-105']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-87']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 8)	-124.375	None	{'(6, 7)': {'count': 1, 'move': (6, 7), 'evaluations': ['-100']}, '(8, 7)': {'count': 2, 'move': (8, 7), 'evaluations': ['-82', '-108']}, '(7, 8)': {'count': 3, 'move': (7, 8), 'evaluations': ['-104', '-152', '-169']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-126']}, '(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-154']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-107.75	None	{'(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-86', '-92']}, '(7, 8)': {'count': 2, 'move': (7, 8), 'evaluations': ['-85', '-72']}, '(6, 9)': {'count': 2, 'move': (6, 9), 'evaluations': ['-133', '-124']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-132']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-138']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 9)	-101.0	None	{'(7, 9)': {'count': 3, 'move': (7, 9), 'evaluations': ['-85', '-79', '-135']}, '(4, 8)': {'count': 1, 'move': (4, 8), 'evaluations': ['-132']}, '(6, 9)': {'count': 1, 'move': (6, 9), 'evaluations': ['-101']}, '(4, 6)': {'count': 2, 'move': (4, 6), 'evaluations': ['-86', '-77']}, '(4, 7)': {'count': 1, 'move': (4, 7), 'evaluations': ['-113']}}
[(7, 7, 2), (6, 7, 1), (6, 6, 2)]	(7, 5)	-162.625	None	{'(5, 5)': {'count': 1, 'move': (5, 5), 'evaluations': ['-172']}, '(7, 5)': {'count': 4, 'move': (7, 5), 'evaluations': ['-188', '-134', '-157', '-173']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['-190']}, '(8, 6)': {'count': 2, 'move': (8, 6), 'evaluations': ['-194', '-93']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-87.75	None	{'(7, 6)': {'count': 5, 'move': (7, 6), 'evaluations': ['-59', '-81', '-104', '-60', '-116']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-95']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-81']}, '(4, 6)': {'count': 1, 'move': (4, 6), 'evaluations': ['-106']}}
[(7, 7, 2), (6, 6, 1), (7, 8, 2)]	(7, 9)	-122.125	None	{'(7, 9)': {'count': 8, 'move': (7, 9), 'evaluations': ['-88', '-144', '-119', '-123', '-132', '-127', '-118', '-126']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-127.25	None	{'(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-124']}, '(7, 6)': {'count': 4, 'move': (7, 6), 'evaluations': ['-135', '-71', '-125', '-101']}, '(8, 7)': {'count': 1, 'move': (8, 7), 'evaluations': ['-138']}, '(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-139']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-185']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 8)	-89.625	None	{'(7, 9)': {'count': 2, 'move': (7, 9), 'evaluations': ['-89', '-90']}, '(7, 8)': {'count': 5, 'move': (7, 8), 'evaluations': ['-87', '-102', '-82', '-83', '-98']}, '(7, 6)': {'count': 1, 'move': (7, 6), 'evaluations': ['-86']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 8)	-121.25	None	{'(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-91', '-132']}, '(7, 8)': {'count': 3, 'move': (7, 8), 'evaluations': ['-110', '-100', '-153']}, '(8, 7)': {'count': 1, 'move': (8, 7), 'evaluations': ['-117']}, '(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-130']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-137']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2)]	(5, 6)	-110.75	None	{'(5, 6)': {'count': 2, 'move': (5, 6), 'evaluations': ['-111', '-134']}, '(8, 8)': {'count': 2, 'move': (8, 8), 'evaluations': ['-59', '-129']}, '(5, 8)': {'count': 2, 'move': (5, 8), 'evaluations': ['-56', '-132']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-122']}, '(9, 8)': {'count': 1, 'move': (9, 8), 'evaluations': ['-143']}}
[(7, 7, 2), (6, 7, 1), (5, 6, 2)]	(7, 6)	-89.5	None	{'(6, 6)': {'count': 2, 'move': (6, 6), 'evaluations': ['-89', '-89']}, '(7, 6)': {'count': 3, 'move': (7, 6), 'evaluations': ['-87', '-91', '-94']}, '(4, 9)': {'count': 1, 'move': (4, 9), 'evaluations': ['-85']}, '(7, 5)': {'count': 2, 'move': (7, 5), 'evaluations': ['-91', '-90']}}
[(7, 7, 1), (6, 7, 2), (6, 6, 1), (7, 5, 2)]	(8, 8)	None	+M34	{'(8, 8)': {'count': 8, 'move': (8, 8), 'evaluations': ['+M35', '+M35', '+M35', '+M33', '+M33', '+M33', '+M33', '+M33']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 9)	-128.5	None	{'(7, 9)': {'count': 3, 'move': (7, 9), 'evaluations': ['-127', '-104', '-131']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-117']}, '(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-166', '-153']}, '(8, 7)': {'count': 2, 'move': (8, 7), 'evaluations': ['-157', '-73']}}
[(7, 7, 2), (6, 7, 1), (7, 5, 2)]	(8, 6)	-127.875	None	{'(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-82', '-195']}, '(8, 6)': {'count': 6, 'move': (8, 6), 'evaluations': ['-55', '-132', '-127', '-203', '-91', '-138']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2)]	(7, 6)	-108.125	None	{'(7, 9)': {'count': 1, 'move': (7, 9), 'evaluations': ['-101']}, '(7, 6)': {'count': 2, 'move': (7, 6), 'evaluations': ['-94', '-135']}, '(8, 7)': {'count': 1, 'move': (8, 7), 'evaluations': ['-126']}, '(4, 6)': {'count': 1, 'move': (4, 6), 'evaluations': ['-148']}, '(7, 8)': {'count': 1, 'move': (7, 8), 'evaluations': ['-92']}, '(5, 9)': {'count': 1, 'move': (5, 9), 'evaluations': ['-75']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-94']}}
[(7, 7, 2), (6, 6, 1), (7, 8, 2)]	(7, 9)	-110.25	None	{'(7, 9)': {'count': 7, 'move': (7, 9), 'evaluations': ['-81', '-119', '-95', '-93', '-89', '-131', '-133']}, '(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-141']}}
[(7, 7, 1), (6, 6, 2), (5, 8, 1), (7, 8, 2)]	(5, 9)	336.0	+M33	{'(5, 9)': {'count': 8, 'move': (5, 9), 'evaluations': ['336', '+M45', '+M39', '+M29', '+M29', '+M29', '+M29', '+M29']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2)]	(7, 6)	None	+M31	{'(7, 6)': {'count': 8, 'move': (7, 6), 'evaluations': ['+M31', '+M31', '+M31', '+M31', '+M31', '+M31', '+M31', '+M31']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2), (5, 6, 1), (7, 6, 2)]	(7, 8)	None	-M28	{'(7, 8)': {'count': 8, 'move': (7, 8), 'evaluations': ['-M28', '-M28', '-M28', '-M28', '-M28', '-M28', '-M28', '-M28']}}
[(7, 7, 2), (6, 6, 1), (5, 8, 2), (7, 8, 1), (5, 9, 2)]	(5, 6)	None	-M30	{'(5, 6)': {'count': 8, 'move': (5, 6), 'evaluations': ['-M30', '-M30', '-M30', '-M30', '-M30', '-M30', '-M30', '-M30']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2), (7, 6, 1), (7, 8, 2)]	(8, 9)	None	+M27	{'(8, 9)': {'count': 8, 'move': (8, 9), 'evaluations': ['+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27', '+M27']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2), (5, 6, 1), (7, 6, 2), (7, 8, 1), (8, 9, 2)]	(3, 4)	None	-M26	{'(4, 5)': {'count': 1, 'move': (4, 5), 'evaluations': ['-M26']}, '(3, 4)': {'count': 7, 'move': (3, 4), 'evaluations': ['-M26', '-M26', '-M26', '-M26', '-M26', '-M26', '-M26']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2), (7, 6, 1), (7, 8, 2), (8, 9, 1), (3, 4, 2)]	(4, 5)	83.0	None	{'(4, 5)': {'count': 8, 'move': (4, 5), 'evaluations': ['83', '83', '83', '83', '83', '83', '83', '83']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2), (5, 6, 1), (7, 6, 2), (7, 8, 1), (8, 9, 2), (3, 4, 1), (4, 5, 2)]	(6, 6)	None	-M22	{'(6, 8)': {'count': 1, 'move': (6, 8), 'evaluations': ['-M22']}, '(6, 6)': {'count': 5, 'move': (6, 6), 'evaluations': ['-M22', '-M22', '-M22', '-M22', '-M22']}, '(6, 5)': {'count': 2, 'move': (6, 5), 'evaluations': ['-M22', '-M22']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2), (7, 6, 1), (7, 8, 2), (8, 9, 1), (3, 4, 2), (4, 5, 1), (6, 6, 2)]	(6, 8)	None	+M19	{'(6, 8)': {'count': 8, 'move': (6, 8), 'evaluations': ['+M19', '+M19', '+M19', '+M19', '+M19', '+M19', '+M19', '+M19']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2), (5, 6, 1), (7, 6, 2), (7, 8, 1), (8, 9, 2), (3, 4, 1), (4, 5, 2), (6, 6, 1), (6, 8, 2)]	(8, 7)	None	-M18	{'(5, 7)': {'count': 1, 'move': (5, 7), 'evaluations': ['-M18']}, '(8, 7)': {'count': 7, 'move': (8, 7), 'evaluations': ['-M18', '-M18', '-M18', '-M18', '-M18', '-M18', '-M18']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2), (7, 6, 1), (7, 8, 2), (8, 9, 1), (3, 4, 2), (4, 5, 1), (6, 6, 2), (6, 8, 1), (8, 7, 2)]	(9, 5)	None	+M17	{'(9, 5)': {'count': 8, 'move': (9, 5), 'evaluations': ['+M17', '+M17', '+M17', '+M17', '+M17', '+M17', '+M17', '+M17']}}
[(7, 7, 2), (6, 7, 1), (9, 6, 2), (5, 6, 1), (7, 6, 2), (7, 8, 1), (8, 9, 2), (3, 4, 1), (4, 5, 2), (6, 6, 1), (6, 8, 2), (8, 7, 1), (9, 5, 2)]	(8, 6)	None	-M20	{'(8, 6)': {'count': 8, 'move': (8, 6), 'evaluations': ['-M20', '-M20', '-M20', '-M20', '-M20', '-M20', '-M20', '-M20']}}
[(7, 7, 1), (6, 7, 2), (9, 6, 1), (5, 6, 2), (7, 6, 1), (7, 8, 2), (8, 9, 1), (3, 4, 2), (4, 5, 1), (6, 6, 2), (6, 8, 1), (8, 7, 2), (9, 5, 1), (8, 6, 2)]	(9, 8)	None	+M14	{'(9, 8)': {'count': 8, 'move': (9, 8), 'evaluations': ['+M15', '+M15', '+M13', '+M13', '+M13', '+M13', '+M13', '+M13']}}
